data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-07-03T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,2.0,EIXAMPLE,1.0,Dona,Positiu per ELISA,1,row-xirw_kcdz~m9dm
2020-10-22T00:00:00.000,41.0,VALLES ORIENTAL,8202.0,SANT CELONI,,No classificat,0.0,Home,Epidemiològic,1,row-xygr.i4s2.mt5c
2020-11-04T00:00:00.000,11.0,BAIX LLOBREGAT,8217.0,SANT JOAN DESPÍ,,No classificat,0.0,Home,PCR probable,1,row-p2zv_yti7_pvd9
2020-11-06T00:00:00.000,41.0,VALLES ORIENTAL,8124.0,MOLLET DEL VALLÈS,,No classificat,1.0,Dona,Epidemiològic,1,row-8qez_bu3u-zvsm
2020-12-14T00:00:00.000,10.0,BAIX EMPORDA,17034.0,CALONGE I SANT ANTONI,,No classificat,0.0,Home,Epidemiològic,1,row-63f8.nirz~kyc9
2020-12-13T00:00:00.000,11.0,BAIX LLOBREGAT,8089.0,GAVÀ,,No classificat,1.0,Dona,Positiu per ELISA,2,row-fvcz_kh9w_bs8f
2020-10-29T00:00:00.000,14.0,BERGUEDA,8175.0,PUIG-REIG,,No classificat,0.0,Home,Positiu per ELISA,1,row-64bx.t8jw~34yn
2020-10-28T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,0.0,Home,Positiu per ELISA,1,row-27tf.fvvu.efd6
2020-05-07T00:00:00.000,3.0,ALT PENEDES,8305.0,VILAFRANCA DEL PENEDÈS,,No classificat,0.0,Home,Positiu per ELISA,1,row-8g7h_4heb-vwfb
2020-04-24T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,8.0,NOU BARRIS,0.0,Home,Positiu per Test Ràpid,1,row-5ufs_pmrc.27up
2020-05-21T00:00:00.000,7.0,BAGES,8274.0,SÚRIA,,No classificat,1.0,Dona,Positiu per ELISA,1,row-6qd3_phjy~hatj
2020-10-13T00:00:00.000,40.0,VALLES OCCIDENTAL,8187.0,SABADELL,,No classificat,1.0,Dona,Positiu per ELISA,1,row-2msv-h6mf_eqdi
2020-04-26T00:00:00.000,40.0,VALLES OCCIDENTAL,8184.0,RUBÍ,,No classificat,1.0,Dona,Positiu per ELISA,1,row-ghnz.m7ah~nu6u
2020-05-18T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,2.0,EIXAMPLE,1.0,Dona,PCR probable,1,row-xzf5_su9s-pkyd
2020-07-16T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,0.0,Home,Positiu per Test Ràpid,6,row-aj3s_3rj8.qzfw
2020-05-22T00:00:00.000,2.0,ALT EMPORDA,17066.0,FIGUERES,,No classificat,0.0,Home,PCR probable,1,row-tgxg~6qg9_kpw7
2020-04-24T00:00:00.000,38.0,URGELL,25217.0,TÀRREGA,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-sz4e-ydsf_5mpg
2020-05-24T00:00:00.000,11.0,BAIX LLOBREGAT,8217.0,SANT JOAN DESPÍ,,No classificat,1.0,Dona,Positiu per ELISA,1,row-9eqi.fpkp.xsug
2020-04-02T00:00:00.000,11.0,BAIX LLOBREGAT,8263.0,SANT VICENÇ DELS HORTS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-3dv7~2yje~4zqr
2020-04-27T00:00:00.000,33.0,SEGRIA,25120.0,LLEIDA,,No classificat,1.0,Dona,Epidemiològic,1,row-km69_77np.ebd7
2020-12-23T00:00:00.000,20.0,GIRONES,17079.0,GIRONA,,No classificat,0.0,Home,PCR probable,1,row-fccv~pgbj.nqtd
2020-08-18T00:00:00.000,34.0,SELVA,17008.0,ANGLÈS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-dyrt_fn32.rceh
2020-08-19T00:00:00.000,6.0,ANOIA,8250.0,SANTA MARGARIDA DE MONTBUI,,No classificat,1.0,Dona,Positiu per Test Ràpid,2,row-nmb7_hues~24tj
2020-07-21T00:00:00.000,,,,No classificat,,No classificat,,No classificat,Epidemiològic,7,row-6m4u.5srz-4z28
2020-07-21T00:00:00.000,21.0,MARESME,8163.0,PINEDA DE MAR,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-yub7.f5g4_nx7b
2020-06-29T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,5.0,SARRIÀ-SANT GERVASI,1.0,Dona,Positiu per ELISA,2,row-ymg9-2mid-3gbq
2020-06-06T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,5.0,SARRIÀ-SANT GERVASI,1.0,Dona,Positiu per ELISA,3,row-itr5_rdyf.sjcw
